"score","text","name"
0,"RT @iFaridoon: News: #SecretSuperstar starring @aamir_khan in a special cameo. Will release on August 4, 2017.Directed by Advait.","AamirKhan"
0,"RT @iFaridoon: News: #SecretSuperstar starring @aamir_khan in a special cameo. Will release on August 4, 2017.Directed by Advait.","AamirKhan"
0,"RT @BollywoodUncut: @aamir_khan Along With His #Dangal Daughters @fattysanashaikh @sanyamalhotra07 Glam Up The #VanHeusen #FashionNight
htt…","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @iFaridoon: . @BeingSalmanKhan said today that he and @iamsrk will watch @aamir_khan 's #Dangal first day first show #StarScreenAwards","AamirKhan"
0,"Most followed #Indians <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3> on #Twitter @TwitterIndia are :
1) @narendramodi 
2) @SrBachchan
3) @iamsrk 
4) @BeingSalmanKhan 
5) @aamir_khan","AamirKhan"
0,"@aamir_khan Waiting for DANGAL","AamirKhan"
0,"RT @Bollyhungama: ""I will make steroids personally available 2 people &amp; if dey cn achieve same results wht @aamir_khan hs achieved"": #Rahul…","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"#Dhaakad making: Not just @aamir_khan, #Dangal girls also underwent deadly transformation. Watch video… https://t.co/na1gMENK01","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @ieEntertainment: .@aamir_khan will next do a cameo in #SecretSuperstar
https://t.co/57QR5NHjic https://t.co/Tsni55EExs","AamirKhan"
0,"RT @OYERJALOK: In Pics : @aamir_khan with his #Dangal daughters @sanyamalhotra07 and @fattysanashaikh at the #FashionNights @gqindia #RjAlo…","AamirKhan"
1,"@aamir_khan @YouTube love u","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"News: #SecretSuperstar starring @aamir_khan in a special cameo. Will release on August 4, 2017.Directed by Advait. https://t.co/4fevyTBfCr","AamirKhan"
1,"@aamir_khan @YouTube another Blockbuster from MR. PERFECTIONIST","AamirKhan"
-1,"@aamir_khan @YouTube 
U  r  the  killer sir","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @aamir_khan: Nitesh Sir sehat ke liye aap toh Haanikarak hain !
https://t.co/VJUb9A2Jtf","AamirKhan"
0,"@zeemusiccompany @aamir_khan
Release Dangal Album ?","AamirKhan"
0,"VIDEO - .@aamir_khan, de fofisano a culturista en cinco meses (por exigencias de guión) https://t.co/rz6Pn1pmA8… https://t.co/SScHVFn3lJ","AamirKhan"
0,"RT @umapathysridhar: #AamirKhan #SecretSuperstar which is written &amp; directed by #AdvaitChandan with @aamir_khan in a cameo is all set to re…","AamirKhan"
0,"RT @MovieTalkies: #AamirKhan Starrer #SecretSuperstar To Release On This Date...https://t.co/T8sKi6IQ3E

#Bollywood #Dangal @aamir_khan","AamirKhan"
0,"RT @Abhinav7Jain: Sir you are Virat Kohli of bollywood! One of the biggest inspiration of our times..Be my coach!<ed><U+00A0><U+00BD><ed><U+00B8><U+0081> @aamir_khan #Dangal http…","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"So @aamir_khan will have no release in 2017, his Cameo Film #SecretSuperstar will release on 4 Aug 2017. #ThugsOfHindostanOnDiwali2018","AamirKhan"
0,"@aamir_khan mr Prfectional","AamirKhan"
-1,"#mondaymotivation
@aamir_khan  not taking 2 Years break this Time &amp; Releasing his
#SecretSuperstar next year on Rakhshabandhan Wknd.","AamirKhan"
0,"RT @MovifiedBolly: #AamirKhan's next production in association with @ZeeStudios_, #SecretSuperstar, which *s @aamir_khan in a cameo to rele…","AamirKhan"
0,"RT @CompleteCinema: .@ZeeStudios_ &amp; Aamir Khan Productions will release Advait Chandan's #SecretSuperstar on 4 Aug 2017. @aamir_khan has a…","AamirKhan"
0,"RT @utvfilms: Miliye Dangal ki #DhaakadGirls se, iss naye video mein: https://t.co/cwIF3IsUgT
@aamir_khan @niteshtiwari22","AamirKhan"
